battery,dataset,k,method
graves,dense,2,sklearn_gm
graves,dense,2,ITM
graves,dense,2,FCPS_MinEnergy
graves,dense,2,Genie_G0.1
graves,dense,2,mst_divisive_DaviesBouldin
graves,dense,2,Genie_G0.3
graves,dense,2,mst_divisive_DuNN_25_Min_Max
graves,dense,2,mst_divisive_WCNN_25
graves,dense,2,IcA
graves,dense,2,GIc
graves,dense,2,CTCEHC
graves,dense,2,Genie_G0.7
graves,dense,2,Genie_G0.5
graves,dense,2,mst_divisive_BallHall
graves,dense,2,mst_divisive_CalinskiHarabasz
graves,dense,2,mst_divisive_Silhouette
graves,dense,2,WCNN_25
graves,dense,2,fastcluster_centroid
graves,dense,2,fastcluster_average
graves,dense,2,sklearn_spectral_Alaplacian_G5
graves,dense,2,sklearn_birch_T0.01_BF50
graves,dense,2,fastcluster_ward
graves,dense,2,BallHall
graves,dense,2,FCPS_Fanny
graves,dense,2,DuNN_25_Min_Max
graves,dense,2,Silhouette
graves,dense,2,DuNN_25_Mean_Mean
graves,dense,2,FCPS_PAM
graves,dense,2,FCPS_Clara
graves,dense,2,sklearn_kmeans
graves,dense,2,CalinskiHarabasz
graves,dense,2,FCPS_Hardcl
graves,dense,2,FCPS_Softcl
graves,dense,2,FCPS_AdaptiveDensityPeak
graves,dense,2,FCPS_Diana
graves,dense,2,mst_divisive_DuNN_25_Mean_Mean
graves,dense,2,mst_divisive_GDunn_d4_D3
graves,dense,2,mst_divisive_GDunn_d3_D3
graves,dense,2,mst_divisive_GDunn_d2_D3
graves,dense,2,mst_divisive_GDunn_d2_D2
graves,dense,2,GDunn_d2_D1
graves,dense,2,fastcluster_median
graves,dense,2,mst_divisive_GDunn_d2_D1
graves,dense,2,GDunn_d2_D3
graves,dense,2,GDunn_d2_D2
graves,dense,2,FCPS_Minimax
graves,dense,2,GDunn_d3_D3
graves,dense,2,GDunn_d4_D3
graves,dense,2,GDunn_d4_D2
graves,dense,2,GDunn_d3_D2
graves,dense,2,fastcluster_complete
graves,dense,2,GDunn_d5_D2
graves,dense,2,mst_divisive_DuNN_25_Max_Min
graves,dense,2,GDunn_d5_D1
graves,dense,2,HEMST
graves,dense,2,fastcluster_weighted
graves,dense,2,GDunn_d4_D1
graves,dense,2,GDunn_d3_D1
graves,dense,2,mst_divisive_GDunn_d1_D1
graves,dense,2,mst_divisive_GDunn_d1_D2
graves,dense,2,DuNN_25_Max_Min
graves,dense,2,Genie_G1.0
graves,dense,2,FCPS_HDBSCAN_2
graves,dense,2,mst_divisive_GDunn_d1_D3
graves,dense,2,mst_divisive_SilhouetteW
graves,dense,2,GDunn_d1_D1
graves,dense,2,GDunn_d1_D2
graves,dense,2,GDunn_d1_D3
graves,dense,2,mst_divisive_GDunn_d3_D2
graves,dense,2,SilhouetteW
graves,dense,2,GDunn_d5_D3
graves,dense,2,DaviesBouldin
graves,dense,2,mst_divisive_GDunn_d4_D1
graves,dense,2,FCPS_HDBSCAN_8
graves,dense,2,mst_divisive_GDunn_d5_D3
graves,dense,2,FCPS_HDBSCAN_4
graves,dense,2,mst_divisive_GDunn_d3_D1
graves,dense,2,mst_divisive_GDunn_d4_D2
graves,dense,2,mst_divisive_GDunn_d5_D2
graves,dense,2,mst_divisive_GDunn_d5_D1
graves,fuzzyx,2,FCPS_Softcl
graves,fuzzyx,4,FCPS_Softcl
graves,fuzzyx,5,FCPS_Softcl
graves,fuzzyx,2,GDunn_d4_D2
graves,fuzzyx,4,GDunn_d4_D2
graves,fuzzyx,5,GDunn_d4_D2
graves,fuzzyx,2,CalinskiHarabasz
graves,fuzzyx,4,CalinskiHarabasz
graves,fuzzyx,5,CalinskiHarabasz
graves,fuzzyx,2,sklearn_kmeans
graves,fuzzyx,4,sklearn_kmeans
graves,fuzzyx,5,sklearn_kmeans
graves,fuzzyx,2,sklearn_gm
graves,fuzzyx,4,sklearn_gm
graves,fuzzyx,5,sklearn_gm
graves,fuzzyx,2,GDunn_d2_D3
graves,fuzzyx,4,GDunn_d2_D3
graves,fuzzyx,5,GDunn_d2_D3
graves,fuzzyx,2,GDunn_d2_D2
graves,fuzzyx,4,GDunn_d2_D2
graves,fuzzyx,5,GDunn_d2_D2
graves,fuzzyx,2,FCPS_Diana
graves,fuzzyx,4,FCPS_Diana
graves,fuzzyx,5,FCPS_Diana
graves,fuzzyx,2,GDunn_d3_D3
