battery,dataset,k,method
other,chameleon_t4_8k,6,WCNN_25
other,chameleon_t4_8k,6,Genie_G0.3
other,chameleon_t4_8k,6,Genie_G0.5
other,chameleon_t4_8k,6,ITM
other,chameleon_t4_8k,6,mst_divisive_GDunn_d2_D3
other,chameleon_t4_8k,6,mst_divisive_GDunn_d2_D2
other,chameleon_t4_8k,6,Genie_G0.1
other,chameleon_t4_8k,6,GIc
other,chameleon_t4_8k,6,fastcluster_centroid
other,chameleon_t4_8k,6,FCPS_AdaptiveDensityPeak
other,chameleon_t4_8k,6,BallHall
other,chameleon_t4_8k,6,fastcluster_average
other,chameleon_t4_8k,6,Silhouette
other,chameleon_t4_8k,6,FCPS_Softcl
other,chameleon_t4_8k,6,sklearn_spectral_Alaplacian_G5
other,chameleon_t4_8k,6,sklearn_birch_T0.01_BF50
other,chameleon_t4_8k,6,GDunn_d3_D1
other,chameleon_t4_8k,6,FCPS_Clara
other,chameleon_t4_8k,6,FCPS_Fanny
other,chameleon_t4_8k,6,mst_divisive_CalinskiHarabasz
other,chameleon_t4_8k,6,FCPS_PAM
other,chameleon_t4_8k,6,sklearn_kmeans
other,chameleon_t4_8k,6,CalinskiHarabasz
other,chameleon_t4_8k,6,CTCEHC
other,chameleon_t4_8k,6,mst_divisive_Silhouette
other,chameleon_t4_8k,6,mst_divisive_GDunn_d5_D1
other,chameleon_t4_8k,6,FCPS_MinEnergy
other,chameleon_t4_8k,6,GDunn_d2_D2
other,chameleon_t4_8k,6,sklearn_gm
other,chameleon_t4_8k,6,FCPS_Hardcl
other,chameleon_t4_8k,6,mst_divisive_GDunn_d5_D2
other,chameleon_t4_8k,6,mst_divisive_GDunn_d5_D3
other,chameleon_t4_8k,6,GDunn_d2_D3
other,chameleon_t4_8k,6,FCPS_Minimax
other,chameleon_t4_8k,6,fastcluster_ward
other,chameleon_t4_8k,6,fastcluster_weighted
other,chameleon_t4_8k,6,GDunn_d4_D3
other,chameleon_t4_8k,6,GDunn_d3_D3
other,chameleon_t4_8k,6,GDunn_d4_D2
other,chameleon_t4_8k,6,GDunn_d3_D2
other,chameleon_t4_8k,6,fastcluster_complete
other,chameleon_t4_8k,6,IcA
other,chameleon_t4_8k,6,GDunn_d2_D1
other,chameleon_t4_8k,6,GDunn_d4_D1
other,chameleon_t4_8k,6,mst_divisive_GDunn_d2_D1
other,chameleon_t4_8k,6,FCPS_Diana
other,chameleon_t4_8k,6,Genie_G0.7
other,chameleon_t4_8k,6,DuNN_25_Mean_Mean
other,chameleon_t4_8k,6,DuNN_25_Min_Max
