battery,dataset,k,method
sipu,a1,20,FCPS_Softcl
sipu,a1,20,FCPS_Fanny
sipu,a1,20,sklearn_kmeans
sipu,a1,20,FCPS_PAM
sipu,a1,20,sklearn_spectral_Alaplacian_G5
sipu,a1,20,sklearn_gm
sipu,a1,20,FCPS_Clara
sipu,a1,20,CTCEHC
sipu,a1,20,GIc
sipu,a1,20,Genie_G0.1
sipu,a1,20,fastcluster_centroid
sipu,a1,20,mst_divisive_BallHall
sipu,a1,20,mst_divisive_Silhouette
sipu,a1,20,sklearn_birch_T0.01_BF50
sipu,a1,20,fastcluster_average
sipu,a1,20,mst_divisive_CalinskiHarabasz
sipu,a1,20,FCPS_MinEnergy
sipu,a1,20,fastcluster_complete
sipu,a1,20,FCPS_AdaptiveDensityPeak
sipu,a1,20,fastcluster_ward
sipu,a1,20,FCPS_Minimax
sipu,a1,20,mst_divisive_WCNN_25
sipu,a1,20,Genie_G0.3
sipu,a1,20,mst_divisive_DuNN_25_Min_Max
sipu,a1,20,mst_divisive_DuNN_25_Mean_Mean
sipu,a1,20,FCPS_Diana
sipu,a1,20,fastcluster_weighted
sipu,a1,20,Genie_G0.5
sipu,a1,20,fastcluster_median
sipu,a1,20,IcA
sipu,a1,20,ITM
sipu,a1,20,mst_divisive_GDunn_d2_D3
sipu,a1,20,mst_divisive_GDunn_d2_D2
sipu,a1,20,HEMST
sipu,a1,20,mst_divisive_GDunn_d2_D1
sipu,a1,20,mst_divisive_GDunn_d5_D1
sipu,a1,20,mst_divisive_GDunn_d5_D2
sipu,a1,20,mst_divisive_GDunn_d5_D3
sipu,a1,20,FCPS_Hardcl
sipu,a1,20,Genie_G0.7
sipu,a1,20,mst_divisive_DuNN_25_Max_Min
sipu,a1,20,Genie_G1.0
sipu,a1,20,mst_divisive_GDunn_d1_D3
sipu,a1,20,mst_divisive_GDunn_d1_D2
sipu,a1,20,mst_divisive_GDunn_d1_D1
sipu,a1,20,FCPS_HDBSCAN_2
sipu,a1,20,mst_divisive_GDunn_d4_D3
sipu,a1,20,mst_divisive_GDunn_d4_D2
sipu,a1,20,mst_divisive_GDunn_d3_D3
sipu,a1,20,mst_divisive_GDunn_d3_D2
sipu,a1,20,mst_divisive_GDunn_d3_D1
sipu,a1,20,mst_divisive_GDunn_d4_D1
sipu,a1,20,FCPS_HDBSCAN_4
sipu,a1,20,mst_divisive_DaviesBouldin
sipu,a1,20,mst_divisive_SilhouetteW
sipu,a1,20,FCPS_HDBSCAN_8
sipu,a2,35,sklearn_kmeans
sipu,a2,35,FCPS_PAM
sipu,a2,35,sklearn_gm
sipu,a2,35,sklearn_spectral_Alaplacian_G5
sipu,a2,35,FCPS_AdaptiveDensityPeak
sipu,a2,35,Genie_G0.1
sipu,a2,35,GIc
sipu,a2,35,CTCEHC
sipu,a2,35,fastcluster_centroid
sipu,a2,35,sklearn_birch_T0.01_BF50
sipu,a2,35,fastcluster_average
sipu,a2,35,FCPS_MinEnergy
sipu,a2,35,fastcluster_ward
sipu,a2,35,FCPS_Minimax
sipu,a2,35,fastcluster_complete
sipu,a2,35,FCPS_Softcl
sipu,a2,35,mst_divisive_CalinskiHarabasz
sipu,a2,35,mst_divisive_WCNN_25
sipu,a2,35,mst_divisive_DuNN_25_Mean_Mean
sipu,a2,35,Genie_G0.3
sipu,a2,35,mst_divisive_DuNN_25_Min_Max
sipu,a2,35,mst_divisive_BallHall
sipu,a2,35,FCPS_Clara
sipu,a2,35,mst_divisive_Silhouette
sipu,a2,35,fastcluster_weighted
sipu,a2,35,fastcluster_median
sipu,a2,35,Genie_G0.5
sipu,a2,35,ITM
sipu,a2,35,FCPS_Diana
sipu,a2,35,FCPS_Hardcl
sipu,a2,35,IcA
sipu,a2,35,mst_divisive_GDunn_d2_D2
sipu,a2,35,mst_divisive_GDunn_d2_D1
sipu,a2,35,mst_divisive_GDunn_d2_D3
sipu,a2,35,mst_divisive_GDunn_d5_D1
sipu,a2,35,mst_divisive_GDunn_d5_D2
sipu,a2,35,mst_divisive_GDunn_d5_D3
sipu,a2,35,HEMST
sipu,a2,35,Genie_G0.7
sipu,a2,35,mst_divisive_DuNN_25_Max_Min
sipu,a2,35,mst_divisive_GDunn_d3_D2
sipu,a2,35,mst_divisive_GDunn_d1_D1
sipu,a2,35,mst_divisive_GDunn_d1_D2
sipu,a2,35,mst_divisive_GDunn_d1_D3
sipu,a2,35,Genie_G1.0
sipu,a2,35,FCPS_HDBSCAN_2
sipu,a2,35,mst_divisive_GDunn_d3_D1
sipu,a2,35,mst_divisive_GDunn_d4_D2
sipu,a2,35,mst_divisive_GDunn_d3_D3
sipu,a2,35,mst_divisive_GDunn_d4_D3
sipu,a2,35,mst_divisive_GDunn_d4_D1
sipu,a2,35,mst_divisive_DaviesBouldin
sipu,a2,35,FCPS_HDBSCAN_4
sipu,a2,35,mst_divisive_SilhouetteW
sipu,a2,35,FCPS_HDBSCAN_8
sipu,a3,50,FCPS_AdaptiveDensityPeak
sipu,a3,50,FCPS_PAM
sipu,a3,50,sklearn_spectral_Alaplacian_G5
sipu,a3,50,Genie_G0.1
sipu,a3,50,GIc
sipu,a3,50,CTCEHC
sipu,a3,50,sklearn_birch_T0.01_BF50
sipu,a3,50,FCPS_MinEnergy
sipu,a3,50,fastcluster_average
sipu,a3,50,mst_divisive_Silhouette
sipu,a3,50,fastcluster_ward
sipu,a3,50,sklearn_gm
sipu,a3,50,sklearn_kmeans
sipu,a3,50,FCPS_Softcl
sipu,a3,50,mst_divisive_WCNN_25
sipu,a3,50,fastcluster_centroid
sipu,a3,50,fastcluster_complete
sipu,a3,50,mst_divisive_DuNN_25_Mean_Mean
sipu,a3,50,Genie_G0.3
sipu,a3,50,FCPS_Minimax
sipu,a3,50,FCPS_Clara
sipu,a3,50,mst_divisive_CalinskiHarabasz
sipu,a3,50,mst_divisive_DuNN_25_Min_Max
sipu,a3,50,fastcluster_weighted
sipu,a3,50,fastcluster_median
sipu,a3,50,Genie_G0.5
sipu,a3,50,ITM
sipu,a3,50,FCPS_Diana
sipu,a3,50,FCPS_Hardcl
sipu,a3,50,IcA
sipu,a3,50,mst_divisive_GDunn_d2_D3
sipu,a3,50,mst_divisive_GDunn_d2_D2
sipu,a3,50,mst_divisive_GDunn_d2_D1
sipu,a3,50,mst_divisive_GDunn_d5_D1
sipu,a3,50,mst_divisive_GDunn_d5_D3
sipu,a3,50,mst_divisive_GDunn_d5_D2
sipu,a3,50,HEMST
sipu,a3,50,Genie_G0.7
sipu,a3,50,mst_divisive_DuNN_25_Max_Min
sipu,a3,50,mst_divisive_BallHall
sipu,a3,50,mst_divisive_GDunn_d1_D1
sipu,a3,50,mst_divisive_GDunn_d3_D3
sipu,a3,50,mst_divisive_GDunn_d3_D1
sipu,a3,50,mst_divisive_GDunn_d3_D2
sipu,a3,50,Genie_G1.0
sipu,a3,50,mst_divisive_GDunn_d1_D2
sipu,a3,50,FCPS_HDBSCAN_2
sipu,a3,50,mst_divisive_GDunn_d1_D3
sipu,a3,50,mst_divisive_GDunn_d4_D1
sipu,a3,50,FCPS_HDBSCAN_4
sipu,a3,50,mst_divisive_GDunn_d4_D2
sipu,a3,50,mst_divisive_GDunn_d4_D3
sipu,a3,50,mst_divisive_DaviesBouldin
sipu,a3,50,FCPS_HDBSCAN_8
sipu,a3,50,mst_divisive_SilhouetteW
sipu,aggregation,7,fastcluster_average
sipu,aggregation,7,sklearn_gm
sipu,aggregation,7,WCNN_25
sipu,aggregation,7,BallHall
sipu,aggregation,7,mst_divisive_DuNN_25_Mean_Mean
sipu,aggregation,7,sklearn_spectral_Alaplacian_G5
sipu,aggregation,7,mst_divisive_WCNN_25
sipu,aggregation,7,fastcluster_centroid
sipu,aggregation,7,FCPS_AdaptiveDensityPeak
sipu,aggregation,7,DaviesBouldin
sipu,aggregation,7,mst_divisive_Silhouette
sipu,aggregation,7,mst_divisive_CalinskiHarabasz
sipu,aggregation,7,mst_divisive_BallHall
sipu,aggregation,7,GDunn_d3_D2
sipu,aggregation,7,GDunn_d4_D3
sipu,aggregation,7,GDunn_d4_D1
sipu,aggregation,7,GDunn_d4_D2
sipu,aggregation,7,GDunn_d2_D1
sipu,aggregation,7,GDunn_d2_D3
sipu,aggregation,7,GDunn_d3_D3
sipu,aggregation,7,GDunn_d3_D1
sipu,aggregation,7,mst_divisive_DuNN_25_Min_Max
sipu,aggregation,7,Genie_G0.5
sipu,aggregation,7,DuNN_25_Min_Max
sipu,aggregation,7,mst_divisive_GDunn_d3_D2
sipu,aggregation,7,Silhouette
sipu,aggregation,7,mst_divisive_GDunn_d3_D3
sipu,aggregation,7,sklearn_birch_T0.01_BF50
sipu,aggregation,7,mst_divisive_GDunn_d3_D1
sipu,aggregation,7,fastcluster_ward
sipu,aggregation,7,GDunn_d2_D2
sipu,aggregation,7,FCPS_Diana
sipu,aggregation,7,FCPS_MinEnergy
sipu,aggregation,7,mst_divisive_GDunn_d4_D2
sipu,aggregation,7,fastcluster_complete
sipu,aggregation,7,CalinskiHarabasz
sipu,aggregation,7,sklearn_kmeans
sipu,aggregation,7,fastcluster_weighted
sipu,aggregation,7,FCPS_PAM
sipu,aggregation,7,FCPS_Clara
sipu,aggregation,7,fastcluster_median
sipu,aggregation,7,FCPS_Softcl
sipu,aggregation,7,mst_divisive_GDunn_d4_D3
sipu,aggregation,7,IcA
sipu,aggregation,7,FCPS_Minimax
sipu,aggregation,7,HEMST
sipu,aggregation,7,FCPS_HDBSCAN_4
sipu,aggregation,7,FCPS_HDBSCAN_8
sipu,aggregation,7,Genie_G1.0
sipu,aggregation,7,mst_divisive_GDunn_d1_D3
sipu,aggregation,7,GDunn_d1_D3
sipu,aggregation,7,mst_divisive_GDunn_d1_D2
sipu,aggregation,7,GDunn_d1_D1
sipu,aggregation,7,GDunn_d1_D2
sipu,aggregation,7,FCPS_HDBSCAN_2
sipu,aggregation,7,mst_divisive_GDunn_d1_D1
sipu,aggregation,7,ITM
sipu,aggregation,7,CTCEHC
sipu,aggregation,7,mst_divisive_GDunn_d4_D1
sipu,aggregation,7,Genie_G0.7
sipu,aggregation,7,GIc
sipu,aggregation,7,mst_divisive_GDunn_d5_D2
sipu,aggregation,7,mst_divisive_GDunn_d5_D3
sipu,aggregation,7,mst_divisive_DuNN_25_Max_Min
sipu,aggregation,7,FCPS_Fanny
sipu,aggregation,7,Genie_G0.1
sipu,aggregation,7,Genie_G0.3
sipu,aggregation,7,mst_divisive_GDunn_d2_D1
sipu,aggregation,7,FCPS_Hardcl
sipu,aggregation,7,mst_divisive_GDunn_d2_D2
sipu,aggregation,7,mst_divisive_GDunn_d5_D1
sipu,aggregation,7,mst_divisive_GDunn_d2_D3
sipu,aggregation,7,GDunn_d5_D2
sipu,aggregation,7,DuNN_25_Max_Min
sipu,aggregation,7,GDunn_d5_D1
sipu,aggregation,7,GDunn_d5_D3
sipu,aggregation,7,DuNN_25_Mean_Mean
sipu,aggregation,7,SilhouetteW
sipu,aggregation,7,mst_divisive_SilhouetteW
sipu,aggregation,7,mst_divisive_DaviesBouldin
sipu,birch1,100,sklearn_kmeans
sipu,birch1,100,GIc
sipu,birch1,100,Genie_G0.1
sipu,birch1,100,Genie_G0.3
sipu,birch1,100,fastcluster_centroid
sipu,birch1,100,fastcluster_ward
sipu,birch1,100,Genie_G0.5
sipu,birch1,100,ITM
sipu,birch1,100,IcA
sipu,birch1,100,fastcluster_median
sipu,birch1,100,Genie_G0.7
sipu,birch1,100,Genie_G1.0
sipu,birch2,100,Genie_G0.1
sipu,birch2,100,Genie_G0.3
sipu,birch2,100,Genie_G0.5
sipu,birch2,100,Genie_G0.7
sipu,birch2,100,GIc
sipu,birch2,100,fastcluster_ward
sipu,birch2,100,fastcluster_centroid
sipu,birch2,100,sklearn_kmeans
sipu,birch2,100,fastcluster_median
sipu,birch2,100,ITM
sipu,birch2,100,IcA
sipu,birch2,100,Genie_G1.0
sipu,compound,4,fastcluster_ward
sipu,compound,5,fastcluster_ward
sipu,compound,6,fastcluster_ward
sipu,compound,4,sklearn_birch_T0.01_BF50
sipu,compound,5,sklearn_birch_T0.01_BF50
sipu,compound,6,sklearn_birch_T0.01_BF50
sipu,compound,4,FCPS_MinEnergy
sipu,compound,5,FCPS_MinEnergy
sipu,compound,6,FCPS_MinEnergy
sipu,compound,4,Genie_G0.3
sipu,compound,5,Genie_G0.3
sipu,compound,6,Genie_G0.3
sipu,compound,4,Genie_G0.1
sipu,compound,5,Genie_G0.1
sipu,compound,6,Genie_G0.1
sipu,compound,4,GIc
sipu,compound,5,GIc
sipu,compound,6,GIc
sipu,compound,4,sklearn_gm
sipu,compound,5,sklearn_gm
sipu,compound,6,sklearn_gm
sipu,compound,4,IcA
sipu,compound,5,IcA
sipu,compound,6,IcA
sipu,compound,4,WCNN_25
sipu,compound,5,WCNN_25
sipu,compound,6,WCNN_25
sipu,compound,4,CalinskiHarabasz
sipu,compound,5,CalinskiHarabasz
sipu,compound,6,CalinskiHarabasz
sipu,compound,4,sklearn_kmeans
sipu,compound,5,sklearn_kmeans
sipu,compound,6,sklearn_kmeans
sipu,compound,4,mst_divisive_DuNN_25_Min_Max
sipu,compound,5,mst_divisive_DuNN_25_Min_Max
sipu,compound,6,mst_divisive_DuNN_25_Min_Max
sipu,compound,4,ITM
sipu,compound,5,ITM
sipu,compound,6,ITM
sipu,compound,4,BallHall
sipu,compound,5,BallHall
sipu,compound,6,BallHall
sipu,compound,4,sklearn_spectral_Alaplacian_G5
sipu,compound,5,sklearn_spectral_Alaplacian_G5
sipu,compound,6,sklearn_spectral_Alaplacian_G5
sipu,compound,4,DuNN_25_Min_Max
sipu,compound,5,DuNN_25_Min_Max
sipu,compound,6,DuNN_25_Min_Max
sipu,compound,4,GDunn_d2_D3
sipu,compound,5,GDunn_d2_D3
sipu,compound,6,GDunn_d2_D3
sipu,compound,4,FCPS_Clara
sipu,compound,5,FCPS_Clara
sipu,compound,6,FCPS_Clara
sipu,compound,4,FCPS_PAM
sipu,compound,5,FCPS_PAM
sipu,compound,6,FCPS_PAM
sipu,compound,4,Genie_G0.5
sipu,compound,5,Genie_G0.5
sipu,compound,6,Genie_G0.5
sipu,compound,4,FCPS_AdaptiveDensityPeak
sipu,compound,5,FCPS_AdaptiveDensityPeak
sipu,compound,6,FCPS_AdaptiveDensityPeak
sipu,compound,4,DuNN_25_Mean_Mean
sipu,compound,5,DuNN_25_Mean_Mean
sipu,compound,6,DuNN_25_Mean_Mean
sipu,compound,4,mst_divisive_CalinskiHarabasz
sipu,compound,5,mst_divisive_CalinskiHarabasz
sipu,compound,6,mst_divisive_CalinskiHarabasz
sipu,compound,4,GDunn_d2_D2
sipu,compound,5,GDunn_d2_D2
sipu,compound,6,GDunn_d2_D2
sipu,compound,4,fastcluster_median
sipu,compound,5,fastcluster_median
sipu,compound,6,fastcluster_median
sipu,compound,4,fastcluster_centroid
sipu,compound,5,fastcluster_centroid
sipu,compound,6,fastcluster_centroid
sipu,compound,4,HEMST
sipu,compound,5,HEMST
sipu,compound,6,HEMST
sipu,compound,4,GDunn_d4_D3
sipu,compound,5,GDunn_d4_D3
sipu,compound,6,GDunn_d4_D3
sipu,compound,4,GDunn_d3_D2
sipu,compound,5,GDunn_d3_D2
sipu,compound,6,GDunn_d3_D2
sipu,compound,4,FCPS_Fanny
sipu,compound,5,FCPS_Fanny
sipu,compound,6,FCPS_Fanny
sipu,compound,4,mst_divisive_DuNN_25_Mean_Mean
sipu,compound,5,mst_divisive_DuNN_25_Mean_Mean
sipu,compound,6,mst_divisive_DuNN_25_Mean_Mean
sipu,compound,4,GDunn_d3_D3
sipu,compound,5,GDunn_d3_D3
sipu,compound,6,GDunn_d3_D3
sipu,compound,4,CTCEHC
sipu,compound,5,CTCEHC
sipu,compound,6,CTCEHC
sipu,compound,4,mst_divisive_Silhouette
sipu,compound,5,mst_divisive_Silhouette
sipu,compound,6,mst_divisive_Silhouette
sipu,compound,4,GDunn_d4_D2
sipu,compound,5,GDunn_d4_D2
sipu,compound,6,GDunn_d4_D2
sipu,compound,4,FCPS_Softcl
sipu,compound,5,FCPS_Softcl
sipu,compound,6,FCPS_Softcl
sipu,compound,4,mst_divisive_BallHall
sipu,compound,5,mst_divisive_BallHall
sipu,compound,6,mst_divisive_BallHall
sipu,compound,4,mst_divisive_WCNN_25
sipu,compound,5,mst_divisive_WCNN_25
sipu,compound,6,mst_divisive_WCNN_25
sipu,compound,4,FCPS_Hardcl
sipu,compound,5,FCPS_Hardcl
sipu,compound,6,FCPS_Hardcl
sipu,compound,4,Genie_G1.0
sipu,compound,5,Genie_G1.0
sipu,compound,6,Genie_G1.0
sipu,compound,4,GDunn_d1_D3
sipu,compound,5,GDunn_d1_D3
sipu,compound,6,GDunn_d1_D3
sipu,compound,4,GDunn_d1_D2
sipu,compound,5,GDunn_d1_D2
sipu,compound,6,GDunn_d1_D2
sipu,compound,4,FCPS_HDBSCAN_2
sipu,compound,5,FCPS_HDBSCAN_2
sipu,compound,6,FCPS_HDBSCAN_2
sipu,compound,4,GDunn_d1_D1
sipu,compound,5,GDunn_d1_D1
sipu,compound,6,GDunn_d1_D1
sipu,compound,4,Genie_G0.7
sipu,compound,5,Genie_G0.7
sipu,compound,6,Genie_G0.7
sipu,compound,4,fastcluster_weighted
sipu,compound,5,fastcluster_weighted
sipu,compound,6,fastcluster_weighted
sipu,compound,4,fastcluster_complete
sipu,compound,5,fastcluster_complete
sipu,compound,6,fastcluster_complete
sipu,compound,4,fastcluster_average
sipu,compound,5,fastcluster_average
sipu,compound,6,fastcluster_average
sipu,compound,4,mst_divisive_GDunn_d1_D1
sipu,compound,5,mst_divisive_GDunn_d1_D1
sipu,compound,6,mst_divisive_GDunn_d1_D1
sipu,compound,4,mst_divisive_GDunn_d1_D2
sipu,compound,5,mst_divisive_GDunn_d1_D2
sipu,compound,6,mst_divisive_GDunn_d1_D2
sipu,compound,4,mst_divisive_GDunn_d1_D3
sipu,compound,5,mst_divisive_GDunn_d1_D3
sipu,compound,6,mst_divisive_GDunn_d1_D3
sipu,compound,4,Silhouette
sipu,compound,5,Silhouette
sipu,compound,6,Silhouette
sipu,compound,4,GDunn_d5_D2
sipu,compound,5,GDunn_d5_D2
sipu,compound,6,GDunn_d5_D2
sipu,compound,4,mst_divisive_GDunn_d3_D3
sipu,compound,5,mst_divisive_GDunn_d3_D3
sipu,compound,6,mst_divisive_GDunn_d3_D3
sipu,compound,4,GDunn_d4_D1
sipu,compound,5,GDunn_d4_D1
sipu,compound,6,GDunn_d4_D1
sipu,compound,4,mst_divisive_GDunn_d4_D3
sipu,compound,5,mst_divisive_GDunn_d4_D3
sipu,compound,6,mst_divisive_GDunn_d4_D3
sipu,compound,4,mst_divisive_GDunn_d4_D2
sipu,compound,5,mst_divisive_GDunn_d4_D2
sipu,compound,6,mst_divisive_GDunn_d4_D2
sipu,compound,4,mst_divisive_GDunn_d5_D3
sipu,compound,5,mst_divisive_GDunn_d5_D3
sipu,compound,6,mst_divisive_GDunn_d5_D3
sipu,compound,4,FCPS_Minimax
sipu,compound,5,FCPS_Minimax
sipu,compound,6,FCPS_Minimax
sipu,compound,4,mst_divisive_GDunn_d5_D2
sipu,compound,5,mst_divisive_GDunn_d5_D2
sipu,compound,6,mst_divisive_GDunn_d5_D2
sipu,compound,4,GDunn_d3_D1
sipu,compound,5,GDunn_d3_D1
sipu,compound,6,GDunn_d3_D1
sipu,compound,4,GDunn_d2_D1
sipu,compound,5,GDunn_d2_D1
sipu,compound,6,GDunn_d2_D1
sipu,compound,4,DaviesBouldin
sipu,compound,5,DaviesBouldin
sipu,compound,6,DaviesBouldin
sipu,compound,4,mst_divisive_GDunn_d5_D1
sipu,compound,5,mst_divisive_GDunn_d5_D1
sipu,compound,6,mst_divisive_GDunn_d5_D1
sipu,compound,4,mst_divisive_GDunn_d2_D1
sipu,compound,5,mst_divisive_GDunn_d2_D1
sipu,compound,6,mst_divisive_GDunn_d2_D1
sipu,compound,4,mst_divisive_GDunn_d3_D2
sipu,compound,5,mst_divisive_GDunn_d3_D2
sipu,compound,6,mst_divisive_GDunn_d3_D2
sipu,compound,4,mst_divisive_GDunn_d2_D2
sipu,compound,5,mst_divisive_GDunn_d2_D2
sipu,compound,6,mst_divisive_GDunn_d2_D2
sipu,compound,4,mst_divisive_GDunn_d2_D3
sipu,compound,5,mst_divisive_GDunn_d2_D3
sipu,compound,6,mst_divisive_GDunn_d2_D3
sipu,compound,4,FCPS_Diana
sipu,compound,5,FCPS_Diana
sipu,compound,6,FCPS_Diana
sipu,compound,4,mst_divisive_DuNN_25_Max_Min
sipu,compound,5,mst_divisive_DuNN_25_Max_Min
sipu,compound,6,mst_divisive_DuNN_25_Max_Min
sipu,compound,4,DuNN_25_Max_Min
sipu,compound,5,DuNN_25_Max_Min
sipu,compound,6,DuNN_25_Max_Min
sipu,compound,4,SilhouetteW
sipu,compound,5,SilhouetteW
sipu,compound,6,SilhouetteW
sipu,compound,4,mst_divisive_GDunn_d4_D1
sipu,compound,5,mst_divisive_GDunn_d4_D1
sipu,compound,6,mst_divisive_GDunn_d4_D1
sipu,compound,4,mst_divisive_GDunn_d3_D1
sipu,compound,5,mst_divisive_GDunn_d3_D1
sipu,compound,6,mst_divisive_GDunn_d3_D1
sipu,compound,4,mst_divisive_SilhouetteW
sipu,compound,5,mst_divisive_SilhouetteW
sipu,compound,6,mst_divisive_SilhouetteW
sipu,compound,4,mst_divisive_DaviesBouldin
sipu,compound,5,mst_divisive_DaviesBouldin
sipu,compound,6,mst_divisive_DaviesBouldin
sipu,compound,4,FCPS_HDBSCAN_4
sipu,compound,5,FCPS_HDBSCAN_4
sipu,compound,6,FCPS_HDBSCAN_4
sipu,compound,4,GDunn_d5_D1
sipu,compound,5,GDunn_d5_D1
sipu,compound,6,GDunn_d5_D1
sipu,compound,4,FCPS_HDBSCAN_8
sipu,compound,5,FCPS_HDBSCAN_8
sipu,compound,6,FCPS_HDBSCAN_8
sipu,compound,4,GDunn_d5_D3
sipu,compound,5,GDunn_d5_D3
sipu,compound,6,GDunn_d5_D3
sipu,d31,31,sklearn_kmeans
sipu,d31,31,FCPS_PAM
sipu,d31,31,FCPS_AdaptiveDensityPeak
sipu,d31,31,sklearn_spectral_Alaplacian_G5
sipu,d31,31,sklearn_gm
sipu,d31,31,mst_divisive_WCNN_25
sipu,d31,31,Genie_G0.1
sipu,d31,31,CTCEHC
sipu,d31,31,GIc
sipu,d31,31,fastcluster_complete
sipu,d31,31,fastcluster_ward
sipu,d31,31,sklearn_birch_T0.01_BF50
sipu,d31,31,FCPS_MinEnergy
sipu,d31,31,FCPS_Clara
sipu,d31,31,fastcluster_centroid
sipu,d31,31,fastcluster_average
sipu,d31,31,FCPS_Minimax
sipu,d31,31,mst_divisive_DuNN_25_Mean_Mean
sipu,d31,31,mst_divisive_CalinskiHarabasz
sipu,d31,31,FCPS_Softcl
sipu,d31,31,Genie_G0.3
sipu,d31,31,mst_divisive_DuNN_25_Min_Max
sipu,d31,31,FCPS_Hardcl
sipu,d31,31,mst_divisive_Silhouette
sipu,d31,31,FCPS_Diana
sipu,d31,31,ITM
sipu,d31,31,fastcluster_median
sipu,d31,31,fastcluster_weighted
sipu,d31,31,IcA
sipu,d31,31,Genie_G0.5
sipu,d31,31,mst_divisive_GDunn_d5_D2
sipu,d31,31,mst_divisive_GDunn_d2_D3
sipu,d31,31,mst_divisive_BallHall
sipu,d31,31,mst_divisive_GDunn_d5_D3
sipu,d31,31,mst_divisive_GDunn_d2_D1
sipu,d31,31,mst_divisive_GDunn_d5_D1
sipu,d31,31,mst_divisive_GDunn_d2_D2
sipu,d31,31,mst_divisive_DuNN_25_Max_Min
sipu,d31,31,HEMST
sipu,d31,31,Genie_G0.7
sipu,d31,31,mst_divisive_GDunn_d1_D1
sipu,d31,31,mst_divisive_GDunn_d3_D1
sipu,d31,31,mst_divisive_GDunn_d3_D3
