battery,dataset,k,method
wut,circles,4,Genie_G0.1
wut,circles,4,mst_divisive_DuNN_25_Mean_Mean
wut,circles,4,mst_divisive_DuNN_25_Max_Min
wut,circles,4,mst_divisive_DuNN_25_Min_Max
wut,circles,4,Silhouette
wut,circles,4,SilhouetteW
wut,circles,4,WCNN_25
wut,circles,4,mst_divisive_CalinskiHarabasz
wut,circles,4,mst_divisive_Silhouette
wut,circles,4,mst_divisive_GDunn_d1_D1
wut,circles,4,mst_divisive_GDunn_d1_D2
wut,circles,4,mst_divisive_GDunn_d1_D3
wut,circles,4,mst_divisive_GDunn_d3_D1
wut,circles,4,mst_divisive_GDunn_d3_D2
wut,circles,4,mst_divisive_GDunn_d3_D3
wut,circles,4,Genie_G0.3
wut,circles,4,mst_divisive_GDunn_d4_D2
wut,circles,4,mst_divisive_GDunn_d4_D3
wut,circles,4,mst_divisive_WCNN_25
wut,circles,4,GDunn_d4_D1
wut,circles,4,sklearn_gm
wut,circles,4,sklearn_kmeans
wut,circles,4,sklearn_spectral_Alaplacian_G5
wut,circles,4,sklearn_birch_T0.01_BF50
wut,circles,4,GDunn_d5_D1
wut,circles,4,mst_divisive_GDunn_d4_D1
wut,circles,4,DaviesBouldin
wut,circles,4,FCPS_Softcl
wut,circles,4,DuNN_25_Max_Min
wut,circles,4,fastcluster_average
wut,circles,4,fastcluster_centroid
wut,circles,4,fastcluster_complete
wut,circles,4,fastcluster_ward
wut,circles,4,FCPS_AdaptiveDensityPeak
wut,circles,4,FCPS_MinEnergy
wut,circles,4,FCPS_HDBSCAN_4
wut,circles,4,FCPS_HDBSCAN_2
wut,circles,4,FCPS_HDBSCAN_8
wut,circles,4,FCPS_Diana
wut,circles,4,FCPS_Fanny
wut,circles,4,FCPS_Hardcl
wut,circles,4,CalinskiHarabasz
wut,circles,4,DuNN_25_Mean_Mean
wut,circles,4,Genie_G0.5
wut,circles,4,Genie_G0.7
wut,circles,4,Genie_G1.0
wut,circles,4,GIc
wut,circles,4,GDunn_d3_D1
wut,circles,4,ITM
wut,circles,4,GDunn_d2_D1
wut,circles,4,GDunn_d1_D3
wut,circles,4,GDunn_d1_D2
wut,circles,4,GDunn_d1_D1
wut,circles,4,DuNN_25_Min_Max
wut,circles,4,BallHall
wut,circles,4,GDunn_d4_D2
wut,circles,4,GDunn_d4_D3
wut,circles,4,GDunn_d3_D3
wut,circles,4,GDunn_d3_D2
wut,circles,4,GDunn_d2_D3
wut,circles,4,GDunn_d2_D2
wut,circles,4,fastcluster_weighted
wut,circles,4,FCPS_Minimax
wut,circles,4,fastcluster_median
wut,circles,4,mst_divisive_GDunn_d2_D2
wut,circles,4,mst_divisive_GDunn_d2_D3
wut,circles,4,FCPS_Clara
wut,circles,4,mst_divisive_GDunn_d5_D2
wut,circles,4,HEMST
wut,circles,4,FCPS_PAM
wut,circles,4,IcA
wut,circles,4,mst_divisive_GDunn_d2_D1
wut,circles,4,mst_divisive_GDunn_d5_D1
wut,circles,4,mst_divisive_GDunn_d5_D3
wut,circles,4,CTCEHC
wut,circles,4,GDunn_d5_D2
wut,circles,4,mst_divisive_BallHall
wut,circles,4,mst_divisive_DaviesBouldin
wut,circles,4,GDunn_d5_D3
wut,circles,4,mst_divisive_SilhouetteW
wut,cross,4,Genie_G0.1
wut,cross,4,Genie_G0.3
wut,cross,4,WCNN_25
wut,cross,4,mst_divisive_DuNN_25_Max_Min
wut,cross,4,GIc
